SC	Variant	Meaning	Pinyin	Examples
人	亻	human, person, people	ren2	今仁休位他
口		mouth, opening	kou3	古可名告吃
土		earth	tu3	在地型城地
女		woman, female	nv3	好妄始姓她
心	忄，⺗	heart	xin1	必忙忘性想
手	扌，龵	hand	shou3	持掌打抱押
日		sun, day	ri4	早是明时晩
月		moon, month	yue4	有服青朝能
木		tree	mu4	板根本林来
氵	水，氺	water	shui3	永泳海洋沙
火	灬	fire	huo3	灯炎点然炸
纟	糸	silk	(mi4)	纪纸累细绩
艹	艸	grass	cao3	花英苦草茶
讠	言	speech	yan2	说讲识评试
辶	辵	walk	(chuo4)	迎通道这近
钅	金	gold, metal	jin1	银针钱铁钟
刂	刀	knife, sword	dao1	分切别利刻
宀		roof	(mian2)	守家室字宅
贝		shell	bei4	财贪货贸负
一		one	yi1	三上下不两
力		power, force	li4	力加助勉动
又		right hand	you4	反取受友发
犭	犬	dog	(quan3)	犯狂狗献猪
禾		grain	(he2)	私科秒秀秘
⺮	竹	bamboo	zhu2	笑第简筷算
虫		insect	chong2	強独蛇蛋蚊
阝:	阜	mound, dam	(fu4)	防阻陆院陈
大		big, very	da4	天尖因奇美
广		house on cliff	guang3	店府度座庭
田		field	tian2	思留略番累
目	罒	eye	mu4	眼睛看相省
石		stone	shi2	砂破碑矿码
衤	衣	clothes	yi1	初被裁裤袜
足	⻊	foot	zu2	跑跨跟路距
马		horse	ma3	码驾骂驻妈
页		leaf	ye4	顺须领预顶
巾		turban, scarf	(jin1)	市布帝帐帽
米		rice	mi3	类粉迷粗糖
车		cart, vehicle	che1	轮软军较输
八		eight	ba1	公分趴兵共
尸		corpse	shi1	尺局尾居展
寸		thumb, inch	cun4	寺尊对射付
山		mountain	shan1	岩岛岁崗岔
攵	攴	knock, tap	(pu1)	收改攻做政
彳		(small) step	(chi2)	彼很律微德
十		ten	shi2	什计古叶早
工		work	gong1	左江红巧功
方		square, raft	fang1	放旅族仿房
门		gate	men2	间闲问闭闻
饣	食	eat, food	shi2	饭饿饮馆饱
欠		lack, yawn	qian4	欢欧欲次歌
儿		human, legs	er2	元四光兄充
冫		ice	bing1	冬冷冻况净
子		child, seed	zi3	字学存孩季
疒		sickness	(ne4)	病痛疗疯痩
隹		(short-tailed) bird	(zhui1)	雀集难雅谁
斤		axe, pound	(jin1)	所新听近析
亠		lid	(tou2)	亡交京产亮
王	玉	jade, king	yu4	主弄皇理现
白		white	bai2	的皆皇怕迫
立		stand, erect	li4	音意端亲位
羊	⺶，⺷	sheep	yang2	着样洋美鲜
艮		stopping	(gen4)	很恨恳根眼
冖		cover	(mi4)	写军农深荣
厂		cliff	(han4)	厚原厉厅厕
皿		dish	(min3)	盆监盟盛盖
礻	示	sign, spirit, show	shi4	社神视祝祥
穴		cave	xue4	空突穷究窗
走		run, walk	zou3	起超越赶徒
雨		rain	yu3	雷雪霜需露
囗		enclosure	(wei2)	回国因图团
小	⺌	small	xiao3	少肖尚尖尘
戈		halberd, spear	(ge1)	成式战感我
几		table	ji1	朵机风凡凤
舌		tongue	she2	乱适话舍活
干		dry	gan1	平刊汗旱赶
殳		weapon	(shu1)	段没投般设
夕		evening, sunset	xi1	外多夜名岁
止		stop	zhi3	正此步歪址
牜	牛，⺧	cow	niu2	告物解特件
皮		skin	pi2	披彼波破疲
耳		ear	er3	取闻职聪联
辛		bitter	xin1	辜辟辣辨辩
:阝	邑	city	(yi4)	那邦部都邮
酉		wine	(you3)	醉酒醒酸尊
青		green/blue	qing1	请清情晴猜
鸟		bird	niao3	鸦鸣鸭岛鸡
弓		bow	gong1	引张弱第强
厶		private	si1	公勾去私云
户	戶	door, house	hu4	所房炉护启
羽		feather	yu3	习翻翅塌扇
舟		boat	chuan2	般船航盘艇
里		village, mile	li3	野重量理埋
匕		spoon	(bi3)	匙比北呢旨
夂		go (slowly)	(sui1)	各條复备夏
见		see	jian4	观规视现觉
卩		seal	(jie2)	卷印却即危
罒	网	net	wang3	罗罚罢罪罩
士		scholar	shi4	吉壶志声壮
勹		embrace, wrap	(bao1)	包勿勾勺勻
